sigma,tlow,thigh,width,height,mp,time,fps,psnr
1.00, 0.20, 0.60, 1280, 720, 0, 52.205691, 0.574650, 7.97
0.60, 0.20, 0.60, 400, 100, 0, 2.325336, 12.901361, 7.71
0.60, 0.20, 0.60, 400, 100, 1, 1.767034, 16.977602, 7.71
0.60, 0.20, 0.60, 400, 100, 2, 1.794125, 16.721243, 7.71
0.60, 0.20, 0.60, 400, 550, 0, 8.538220, 3.513613, 7.90
0.60, 0.20, 0.60, 400, 550, 1, 5.449915, 5.504673, 7.90
0.60, 0.20, 0.60, 400, 550, 2, 5.492836, 5.461660, 7.90
0.60, 0.20, 0.60, 400, 1000, 0, 14.953366, 2.006237, 7.63
0.60, 0.20, 0.60, 400, 1000, 1, 9.334208, 3.213985, 7.63
0.60, 0.20, 0.60, 400, 1000, 2, 9.648836, 3.109183, 7.63
0.60, 0.20, 0.60, 850, 100, 0, 3.907857, 7.676842, 7.69
0.60, 0.20, 0.60, 850, 100, 1, 2.786825, 10.764939, 7.67
0.60, 0.20, 0.60, 850, 100, 2, 2.749123, 10.912571, 7.69
0.60, 0.20, 0.60, 850, 550, 0, 17.319426, 1.732159, 7.89
0.60, 0.20, 0.60, 850, 550, 1, 10.699184, 2.803952, 7.86
0.60, 0.20, 0.60, 850, 550, 2, 11.056120, 2.713429, 7.89
0.60, 0.20, 0.60, 850, 1000, 0, 31.440895, 0.954171, 7.47
0.60, 0.20, 0.60, 850, 1000, 1, 19.046173, 1.575120, 7.45
0.60, 0.20, 0.60, 850, 1000, 2, 19.698685, 1.522944, 7.47
0.60, 0.20, 0.60, 1300, 100, 0, 5.412531, 5.542693, 7.69
0.60, 0.20, 0.60, 1300, 100, 1, 3.676187, 8.160629, 7.69
0.60, 0.20, 0.60, 1300, 100, 2, 3.720970, 8.062414, 7.69
0.60, 0.20, 0.60, 1300, 550, 0, 26.383982, 1.137054, 7.86
0.60, 0.20, 0.60, 1300, 550, 1, 16.002642, 1.874690, 7.91
0.60, 0.20, 0.60, 1300, 550, 2, 16.296172, 1.840923, 7.86
0.60, 0.20, 0.60, 1300, 1000, 0, 47.381337, 0.633161, 7.43
0.60, 0.20, 0.60, 1300, 1000, 1, 28.547450, 1.050882, 7.43
0.60, 0.20, 0.60, 1300, 1000, 2, 29.988782, 1.000374, 7.43
0.60, 0.20, 0.75, 400, 100, 0, 2.298624, 13.051286, 8.09
0.60, 0.20, 0.75, 400, 100, 1, 1.751303, 17.130103, 8.09
0.60, 0.20, 0.75, 400, 100, 2, 1.726509, 17.376104, 8.09
0.60, 0.20, 0.75, 400, 550, 0, 8.377643, 3.580959, 8.13
0.60, 0.20, 0.75, 400, 550, 1, 5.296198, 5.664441, 8.12
0.60, 0.20, 0.75, 400, 550, 2, 5.543524, 5.411720, 8.13
0.60, 0.20, 0.75, 400, 1000, 0, 14.750501, 2.033829, 8.15
0.60, 0.20, 0.75, 400, 1000, 1, 9.246264, 3.244554, 8.15
0.60, 0.20, 0.75, 400, 1000, 2, 9.479005, 3.164889, 8.15
0.60, 0.20, 0.75, 850, 100, 0, 3.929300, 7.634948, 8.08
0.60, 0.20, 0.75, 850, 100, 1, 2.699433, 11.113445, 8.06
0.60, 0.20, 0.75, 850, 100, 2, 2.709378, 11.072652, 8.08
0.60, 0.20, 0.75, 850, 550, 0, 17.275781, 1.736535, 8.13
0.60, 0.20, 0.75, 850, 550, 1, 10.603072, 2.829369, 8.11
0.60, 0.20, 0.75, 850, 550, 2, 10.718017, 2.799025, 8.13
0.60, 0.20, 0.75, 850, 1000, 0, 30.661947, 0.978411, 8.16
0.60, 0.20, 0.75, 850, 1000, 1, 18.286979, 1.640512, 8.15
0.60, 0.20, 0.75, 850, 1000, 2, 18.898992, 1.587386, 8.16
0.60, 0.20, 0.75, 1300, 100, 0, 5.374554, 5.581859, 8.03
0.60, 0.20, 0.75, 1300, 100, 1, 3.728691, 8.045719, 8.03
0.60, 0.20, 0.75, 1300, 100, 2, 3.584762, 8.368756, 8.03
0.60, 0.20, 0.75, 1300, 550, 0, 26.036943, 1.152209, 8.13
0.60, 0.20, 0.75, 1300, 550, 1, 15.805905, 1.898025, 8.12
0.60, 0.20, 0.75, 1300, 550, 2, 16.051871, 1.868941, 8.13
0.60, 0.20, 0.75, 1300, 1000, 0, 46.225900, 0.648987, 8.16
0.60, 0.20, 0.75, 1300, 1000, 1, 27.455717, 1.092669, 8.16
0.60, 0.20, 0.75, 1300, 1000, 2, 28.421257, 1.055548, 8.16
0.60, 0.20, 0.90, 400, 100, 0, 2.316804, 12.948873, 8.22
0.60, 0.20, 0.90, 400, 100, 1, 1.733110, 17.309923, 8.22
0.60, 0.20, 0.90, 400, 100, 2, 1.725836, 17.382880, 8.22
0.60, 0.20, 0.90, 400, 550, 0, 8.351776, 3.592050, 8.26
0.60, 0.20, 0.90, 400, 550, 1, 5.229852, 5.736300, 8.24
0.60, 0.20, 0.90, 400, 550, 2, 5.333631, 5.624686, 8.26
0.60, 0.20, 0.90, 400, 1000, 0, 14.560007, 2.060439, 8.27
0.60, 0.20, 0.90, 400, 1000, 1, 8.822999, 3.400204, 8.27
0.60, 0.20, 0.90, 400, 1000, 2, 9.216038, 3.255195, 8.27
0.60, 0.20, 0.90, 850, 100, 0, 3.865437, 7.761089, 8.21
0.60, 0.20, 0.90, 850, 100, 1, 2.726338, 11.003771, 8.19
0.60, 0.20, 0.90, 850, 100, 2, 2.742332, 10.939594, 8.21
0.60, 0.20, 0.90, 850, 550, 0, 17.065698, 1.757912, 8.24
0.60, 0.20, 0.90, 850, 550, 1, 10.505558, 2.855631, 8.24
0.60, 0.20, 0.90, 850, 550, 2, 10.538968, 2.846579, 8.24
0.60, 0.20, 0.90, 850, 1000, 0, 30.294340, 0.990284, 8.25
0.60, 0.20, 0.90, 850, 1000, 1, 17.947449, 1.671547, 8.24
0.60, 0.20, 0.90, 850, 1000, 2, 18.481869, 1.623212, 8.25
0.60, 0.20, 0.90, 1300, 100, 0, 5.354069, 5.603215, 8.20
0.60, 0.20, 0.90, 1300, 100, 1, 3.651466, 8.215878, 8.20
0.60, 0.20, 0.90, 1300, 100, 2, 3.593378, 8.348690, 8.20
0.60, 0.20, 0.90, 1300, 550, 0, 25.745077, 1.165271, 8.25
0.60, 0.20, 0.90, 1300, 550, 1, 15.500865, 1.935376, 8.24
0.60, 0.20, 0.90, 1300, 550, 2, 15.677662, 1.913551, 8.25
0.60, 0.20, 0.90, 1300, 1000, 0, 45.775841, 0.655368, 8.25
0.60, 0.20, 0.90, 1300, 1000, 1, 26.760455, 1.121057, 8.25
0.60, 0.20, 0.90, 1300, 1000, 2, 27.669663, 1.084220, 8.25
0.60, 0.35, 0.60, 400, 100, 0, 2.335895, 12.843043, 7.74
0.60, 0.35, 0.60, 400, 100, 1, 1.727988, 17.361232, 7.74
0.60, 0.35, 0.60, 400, 100, 2, 1.729169, 17.349374, 7.74
0.60, 0.35, 0.60, 400, 550, 0, 8.519340, 3.521400, 7.93
0.60, 0.35, 0.60, 400, 550, 1, 5.568082, 5.387852, 7.93
0.60, 0.35, 0.60, 400, 550, 2, 5.643648, 5.315711, 7.93
0.60, 0.35, 0.60, 400, 1000, 0, 14.971662, 2.003786, 7.84
0.60, 0.35, 0.60, 400, 1000, 1, 9.239953, 3.246770, 7.84
0.60, 0.35, 0.60, 400, 1000, 2, 9.828659, 3.052298, 7.84
0.60, 0.35, 0.60, 850, 100, 0, 4.017539, 7.467258, 7.73
0.60, 0.35, 0.60, 850, 100, 1, 2.775511, 10.808820, 7.75
0.60, 0.35, 0.60, 850, 100, 2, 2.744599, 10.930559, 7.73
0.60, 0.35, 0.60, 850, 550, 0, 17.385723, 1.725554, 7.93
0.60, 0.35, 0.60, 850, 550, 1, 10.738177, 2.793770, 7.92
0.60, 0.35, 0.60, 850, 550, 2, 10.924005, 2.746246, 7.93
0.60, 0.35, 0.60, 850, 1000, 0, 31.156303, 0.962887, 7.82
0.60, 0.35, 0.60, 850, 1000, 1, 18.885605, 1.588511, 7.81
0.60, 0.35, 0.60, 850, 1000, 2, 19.302160, 1.554230, 7.82
0.60, 0.35, 0.60, 1300, 100, 0, 5.420045, 5.535009, 7.73
0.60, 0.35, 0.60, 1300, 100, 1, 3.627717, 8.269664, 7.73
0.60, 0.35, 0.60, 1300, 100, 2, 3.636889, 8.248808, 7.73
0.60, 0.35, 0.60, 1300, 550, 0, 26.163025, 1.146656, 7.93
0.60, 0.35, 0.60, 1300, 550, 1, 15.918871, 1.884556, 7.94
0.60, 0.35, 0.60, 1300, 550, 2, 16.423050, 1.826701, 7.93
0.60, 0.35, 0.60, 1300, 1000, 0, 47.427714, 0.632542, 7.82
0.60, 0.35, 0.60, 1300, 1000, 1, 28.096158, 1.067762, 7.82
0.60, 0.35, 0.60, 1300, 1000, 2, 28.953964, 1.036128, 7.82
0.60, 0.35, 0.75, 400, 100, 0, 2.283302, 13.138866, 8.15
0.60, 0.35, 0.75, 400, 100, 1, 1.717616, 17.466069, 8.15
0.60, 0.35, 0.75, 400, 100, 2, 1.765064, 16.996551, 8.15
0.60, 0.35, 0.75, 400, 550, 0, 8.350716, 3.592506, 8.14
0.60, 0.35, 0.75, 400, 550, 1, 5.434865, 5.519916, 8.14
0.60, 0.35, 0.75, 400, 550, 2, 5.392687, 5.563089, 8.14
0.60, 0.35, 0.75, 400, 1000, 0, 14.679640, 2.043647, 8.17
0.60, 0.35, 0.75, 400, 1000, 1, 9.170160, 3.271481, 8.17
0.60, 0.35, 0.75, 400, 1000, 2, 9.345893, 3.209966, 8.17
0.60, 0.35, 0.75, 850, 100, 0, 3.870492, 7.750953, 8.14
0.60, 0.35, 0.75, 850, 100, 1, 2.718110, 11.037081, 8.12
0.60, 0.35, 0.75, 850, 100, 2, 2.703212, 11.097909, 8.14
0.60, 0.35, 0.75, 850, 550, 0, 17.076395, 1.756811, 8.14
0.60, 0.35, 0.75, 850, 550, 1, 10.600527, 2.830048, 8.13
0.60, 0.35, 0.75, 850, 550, 2, 10.625364, 2.823433, 8.14
0.60, 0.35, 0.75, 850, 1000, 0, 30.808193, 0.973767, 8.17
0.60, 0.35, 0.75, 850, 1000, 1, 18.378169, 1.632372, 8.16
0.60, 0.35, 0.75, 850, 1000, 2, 18.872698, 1.589598, 8.17
0.60, 0.35, 0.75, 1300, 100, 0, 5.355954, 5.601243, 8.11
0.60, 0.35, 0.75, 1300, 100, 1, 3.666484, 8.182226, 8.11
0.60, 0.35, 0.75, 1300, 100, 2, 3.576654, 8.387728, 8.11
