sigma,tlow,thigh,width,height,mp,time,fps,psnr
1.00, 0.20, 0.60, 640, 480, 0, 16.385986, 1.830833, 0.93
1.50, 0.35, 0.90, 640, 480, 0, 15.336129, 1.956165, 2.23
1.50, 0.35, 0.90, 640, 480, 0, 15.238097, 1.968750, 1.78
1.50, 0.35, 0.90, 640, 480, 0, 15.134925, 1.982170, 1.75
1.50, 0.35, 0.90, 640, 480, 0, 15.092099, 1.987795, 3.67
0.60, 0.20, 0.60, 400, 100, 0, 1.795192, 16.711304, 3.95
0.60, 0.20, 0.60, 400, 100, 1, 1.272329, 23.578807, 3.95
0.60, 0.20, 0.60, 400, 100, 2, 1.343931, 22.322575, 3.95
0.60, 0.20, 0.60, 400, 550, 0, 8.014970, 3.742996, 3.80
0.60, 0.20, 0.60, 400, 550, 1, 5.125546, 5.853035, 3.80
0.60, 0.20, 0.60, 400, 550, 2, 5.055986, 5.933561, 3.80
0.60, 0.20, 0.60, 400, 1000, 0, 14.518884, 2.066275, 3.79
0.60, 0.20, 0.60, 400, 1000, 1, 8.989529, 3.337216, 3.79
0.60, 0.20, 0.60, 400, 1000, 2, 9.127673, 3.286708, 3.79
0.60, 0.20, 0.60, 850, 100, 0, 3.449597, 8.696668, 3.93
0.60, 0.20, 0.60, 850, 100, 1, 2.314432, 12.962144, 3.93
0.60, 0.20, 0.60, 850, 100, 2, 2.415094, 12.421877, 3.93
0.60, 0.20, 0.60, 850, 550, 0, 17.052434, 1.759280, 3.79
0.60, 0.20, 0.60, 850, 550, 1, 10.445397, 2.872078, 3.78
0.60, 0.20, 0.60, 850, 550, 2, 10.582999, 2.834735, 3.79
0.60, 0.20, 0.60, 850, 1000, 0, 30.882700, 0.971418, 3.79
0.60, 0.20, 0.60, 850, 1000, 1, 18.975663, 1.580972, 3.79
0.60, 0.20, 0.60, 850, 1000, 2, 19.336567, 1.551465, 3.79
0.60, 0.20, 0.60, 1300, 100, 0, 4.979874, 6.024249, 3.93
0.60, 0.20, 0.60, 1300, 100, 1, 3.238779, 9.262750, 3.93
0.60, 0.20, 0.60, 1300, 100, 2, 3.176454, 9.444494, 3.93
0.60, 0.20, 0.60, 1300, 550, 0, 25.931712, 1.156885, 3.79
0.60, 0.20, 0.60, 1300, 550, 1, 15.797791, 1.899000, 3.78
0.60, 0.20, 0.60, 1300, 550, 2, 16.337946, 1.836216, 3.79
0.60, 0.20, 0.60, 1300, 1000, 0, 47.083205, 0.637170, 3.80
0.60, 0.20, 0.60, 1300, 1000, 1, 28.562715, 1.050320, 3.80
0.60, 0.20, 0.60, 1300, 1000, 2, 30.758900, 0.975327, 3.80
0.60, 0.20, 0.75, 400, 100, 0, 1.834277, 16.355218, 3.92
0.60, 0.20, 0.75, 400, 100, 1, 1.266988, 23.678204, 3.92
0.60, 0.20, 0.75, 400, 100, 2, 1.305499, 22.979719, 3.92
0.60, 0.20, 0.75, 400, 550, 0, 8.021620, 3.739893, 3.76
0.60, 0.20, 0.75, 400, 550, 1, 5.027225, 5.967507, 3.75
0.60, 0.20, 0.75, 400, 550, 2, 5.085078, 5.899615, 3.76
0.60, 0.20, 0.75, 400, 1000, 0, 14.488686, 2.070581, 3.73
0.60, 0.20, 0.75, 400, 1000, 1, 8.808892, 3.405650, 3.73
0.60, 0.20, 0.75, 400, 1000, 2, 9.432165, 3.180606, 3.73
0.60, 0.20, 0.75, 850, 100, 0, 3.406913, 8.805626, 3.88
0.60, 0.20, 0.75, 850, 100, 1, 2.307726, 12.999810, 3.88
0.60, 0.20, 0.75, 850, 100, 2, 2.304949, 13.015472, 3.88
0.60, 0.20, 0.75, 850, 550, 0, 16.998890, 1.764821, 3.73
0.60, 0.20, 0.75, 850, 550, 1, 10.521168, 2.851394, 3.72
0.60, 0.20, 0.75, 850, 550, 2, 11.021722, 2.721898, 3.73
0.60, 0.20, 0.75, 850, 1000, 0, 30.663892, 0.978349, 3.71
0.60, 0.20, 0.75, 850, 1000, 1, 19.222376, 1.560681, 3.71
0.60, 0.20, 0.75, 850, 1000, 2, 19.935040, 1.504888, 3.71
0.60, 0.20, 0.75, 1300, 100, 0, 5.020105, 5.975971, 3.87
0.60, 0.20, 0.75, 1300, 100, 1, 3.280645, 9.144543, 3.87
0.60, 0.20, 0.75, 1300, 100, 2, 3.266966, 9.182832, 3.87
0.60, 0.20, 0.75, 1300, 550, 0, 25.669255, 1.168713, 3.72
0.60, 0.20, 0.75, 1300, 550, 1, 16.020735, 1.872573, 3.72
0.60, 0.20, 0.75, 1300, 550, 2, 16.910834, 1.774011, 3.72
0.60, 0.20, 0.75, 1300, 1000, 0, 46.339053, 0.647402, 3.71
0.60, 0.20, 0.75, 1300, 1000, 1, 28.984751, 1.035027, 3.71
0.60, 0.20, 0.75, 1300, 1000, 2, 30.991812, 0.967998, 3.71
0.60, 0.20, 0.90, 400, 100, 0, 1.821700, 16.468134, 3.77
0.60, 0.20, 0.90, 400, 100, 1, 1.224298, 24.503838, 3.77
0.60, 0.20, 0.90, 400, 100, 2, 1.264307, 23.728414, 3.77
0.60, 0.20, 0.90, 400, 550, 0, 7.867417, 3.813196, 3.70
0.60, 0.20, 0.90, 400, 550, 1, 4.965492, 6.041697, 3.70
0.60, 0.20, 0.90, 400, 550, 2, 5.105448, 5.876076, 3.70
0.60, 0.20, 0.90, 400, 1000, 0, 14.203833, 2.112106, 3.68
0.60, 0.20, 0.90, 400, 1000, 1, 8.930186, 3.359393, 3.68
0.60, 0.20, 0.90, 400, 1000, 2, 9.503619, 3.156692, 3.68
0.60, 0.20, 0.90, 850, 100, 0, 3.339809, 8.982550, 3.74
0.60, 0.20, 0.90, 850, 100, 1, 2.214854, 13.544911, 3.73
0.60, 0.20, 0.90, 850, 100, 2, 2.257009, 13.291928, 3.74
0.60, 0.20, 0.90, 850, 550, 0, 16.771389, 1.788761, 3.67
0.60, 0.20, 0.90, 850, 550, 1, 10.403598, 2.883618, 3.66
0.60, 0.20, 0.90, 850, 550, 2, 11.013508, 2.723928, 3.67
