sigma,tlow,thigh,width,height,mp,time,fps,psnr
1.00, 0.20, 0.60, 888, 900, 0, 1.579380, 0.633160, 4.84
1.00, 0.20, 0.60, 888, 900, 0, 0.876975, 1.140283, 4.84
1.00, 0.20, 0.60, 888, 900, 0, 0.796786, 1.255042, 4.84
0.60, 0.20, 0.60, 400, 100, 0, 0.225783, 4.429031, 5.04
0.60, 0.20, 0.60, 400, 100, 1, 0.208323, 4.800238, 5.04
0.60, 0.20, 0.60, 400, 100, 2, 0.224330, 4.457719, 5.04
0.60, 0.20, 0.60, 400, 550, 0, 0.449497, 2.224709, 4.95
0.60, 0.20, 0.60, 400, 550, 1, 0.400489, 2.496947, 4.94
0.60, 0.20, 0.60, 400, 550, 2, 0.347639, 2.876547, 4.95
0.60, 0.20, 0.60, 400, 1000, 0, 0.668850, 1.495104, 4.91
0.60, 0.20, 0.60, 400, 1000, 1, 0.485957, 2.057795, 4.91
0.60, 0.20, 0.60, 400, 1000, 2, 0.489725, 2.041962, 4.91
0.60, 0.20, 0.60, 850, 100, 0, 0.264680, 3.778147, 5.01
0.60, 0.20, 0.60, 850, 100, 1, 0.238984, 4.184381, 5.01
0.60, 0.20, 0.60, 850, 100, 2, 0.222415, 4.496100, 5.01
0.60, 0.20, 0.60, 850, 550, 0, 0.766226, 1.305098, 4.91
0.60, 0.20, 0.60, 850, 550, 1, 0.587946, 1.700836, 4.91
0.60, 0.20, 0.60, 850, 550, 2, 0.647457, 1.544504, 4.91
0.60, 0.20, 0.60, 850, 1000, 0, 1.235020, 0.809703, 4.86
0.60, 0.20, 0.60, 850, 1000, 1, 0.892668, 1.120237, 4.86
0.60, 0.20, 0.60, 850, 1000, 2, 0.921241, 1.085492, 4.86
0.60, 0.20, 0.60, 1300, 100, 0, 0.345757, 2.892205, 5.01
0.60, 0.20, 0.60, 1300, 100, 1, 0.323147, 3.094567, 5.01
0.60, 0.20, 0.60, 1300, 100, 2, 0.281988, 3.546250, 5.01
0.60, 0.20, 0.60, 1300, 550, 0, 1.072427, 0.932464, 4.90
0.60, 0.20, 0.60, 1300, 550, 1, 0.801715, 1.247326, 4.90
0.60, 0.20, 0.60, 1300, 550, 2, 0.809045, 1.236025, 4.90
0.60, 0.20, 0.60, 1300, 1000, 0, 1.830089, 0.546422, 4.86
0.60, 0.20, 0.60, 1300, 1000, 1, 1.246844, 0.802025, 4.86
0.60, 0.20, 0.60, 1300, 1000, 2, 1.274841, 0.784412, 4.86
0.60, 0.20, 0.75, 400, 100, 0, 0.203461, 4.914947, 5.04
